node,name
6529,Lehra Muhabhat
6532,Ghunas
6537,Bhuchu Mandi
6544,Sekha
6548,Abhanpur Junction
6557,Bithoor
6560,Bishnathganj
6569,Dumra
6580,Lakhpuri
6581,Bhujvad
6583,Murtajapur Town
6585,Rasulabad
6586,Sirsaul
6591,Chicholi
6593,Dongri Buzurg
6594,Mitewani
6595,Sukli
6601,Azimganj Junction
6603,Manigram
6607,Poradanga Halt
6610,Lalbag Court Road
6613,Lalgola
6618,Morgram
6619,Kamarkundu
6635,Gondia Junction
6638,Nagradham P.H.
6641,Nagbhir (NG)
6645,Sindewahi
6646,Babupeth
6652,Kotgaon
6653,Mangli
6654,Balharshah
6655,Mul Marora
6660,Rajoli
6664,Baiyyappanahalli Junction
6670,Benniganahalli
6675,Sovabazar Ahiritola
6679,Bindki Road
6680,Layalpur Khalsa College
6685,Kodaikkanal Road
6686,Mani Mau
6688,Aroul
6691,Bilhaur
6699,Barrajpur
6700,Utripura
6705,Takia
6710,Bhadri
6711,Ram Chaura Road
6714,Suraimanpur
6716,Sahatwar
6717,Bhadaura
6718,Dildarnagar Junction
6719,Bansdih Road
6721,Korukkupet
6737,Panruti
6739,Tamkuhi Road
6740,Dudahi
6743,Gauri Bazar
6744,Chilhia
6745,Naugarh
6747,Eden Gardens
6748,BBD Bagh
6750,Pachperwa
6754,Payagpur
6755,Bisheshwarganj
6759,Howrah Junction
6774,Kallal
6779,Munabao
6785,Paintepur
6789,Jharekapur
6790,Oel
6796,Draksharama
6797,Gorintada
6800,Ongole
6801,Tirukkovilur
6803,Hardoi
6804,Ramkot
6805,Baghauli
6807,Hempur
6809,Misrikh Tirath
6811,Saint Thomas Mount
6820,Rasuriya
6826,Deoranian
6829,Richha Road
6830,Baheri
6831,Kichha
6836,Khiria Khurd
6838,Tirumangalam
6839,Dabtara
6840,Asafpur
6841,Makrandpur
6842,Purua Khera
6847,Sirsi Mukhdampur
6848,Raja Ka Sahaspur Junction
6849,Sambhal
6855,Bahjoi
6856,Babrala
6860,Kalupur Railway Station
6861,Bilaspur Road
6864,Kemri
6867,Rudrapur City Railway Station
6868,Swamimalai
6869,Tiruvidaimarudur
6870,Kuthalam
6871,Kizhvelur
6879,Bikaner Junction
6882,Chandpur
6883,Mandi Dhanaura
6884,Sherpur
6885,Bijnor
6886,Khari Jhalu
6887,Haldaur
6888,Murshadpur
6891,Nagina
6893,Balawali
6894,Basi Kiratpur
6897,Chandok
6902,Jawaharnagar
6908,Kumarghat
6912,Mungiakami
6916,Kurraiya
6920,Gola Gokarannath
6932,Gujran Balwa
6933,Ailam
6934,Hind
6935,Harhar Fatehpur
6936,Asara
6937,Kandrawali
6938,Bhudpur
6939,Baoli
6944,Borvihir
6945,Shirud
6946,Jamdha
6955,Padanura
6956,Gandhipuram
6973,Bandra
6995,Churchgate
6996,Marine Lines
7013,Tiruchchirappalli Palakarai
7016,Tiruchchirapalli Fort
7018,Tiruchchirappalli Town
7019,Rameswaram
7025,Lusa
7027,Saktesgarh
7039,Paras Pani
7041,Mahuariya
7048,Wyndhamganj
7055,Muirpur Road
7064,Jogidih
7074,Gurmura
7084,Churk
7085,Sonbhadra
7088,Manigachi
7090,Bijuli
7092,Kakarghatti
7093,Vindhyachal Railroad Station
7094,Karchana
7097,Khairahi
7101,Madhosingh
7105,Mariahu
7115,Ahimanpur
7116,Almau
7139,Mahoba Junction
7148,Achhalda
7149,Shamsabad
7150,Nibkarori
7151,Pakhna
7152,Jasoda
7154,Harsingpur Goba
7155,Ugarpur
7159,Farrukhabad Junction
7160,Shukarullahpur
7161,Mota
7163,Kamalganj
7165,Daryaogonj
7166,Kampil Road
7168,Rati Ka Nagla
7169,Narthar
7172,Rudain
7173,Bhatasa
7175,Madhubani
7178,Shivwala Tehu
7182,Harduaganj
7183,Sunamai Halt
7191,Park Circus
7192,Sanjay Gram
7198,Mukuria Junction
7211,Dalimgaon
7221,Motichur
7223,Dhandera
7224,Chandsara Halt
7225,Kharkhauda
7228,Nurnagar
7229,Kaili
7248,Manani
7262,Narangi
7268,Kotalpukur
7269,New Farakka Junction
7288,Karaundhana
7289,Muradpur
7290,Dohrighat
7299,Lohardaga
7309,Barkichampi
7320,Akashi
7335,Hazaribagh Road
7340,Sonwarsa Halt
7341,Baghi Ghauspur
7342,Kashi Chak
7343,Dergaon Halt
7344,Kusumha Bihar
7346,Sirari
7348,Adarsh Manpur
7350,Eksari Halt
7355,Akbarnagar
7356,Maheshi
7357,Sultanganj
7358,Karanpurato
7384,Dilli Dewan Ganj
7389,Labha
7393,Pranpur Road
7395,Kuretha
7398,Nayatola Railway Station
7399,Dalan
7400,Rautara
7402,Kishanganj
7419,Rangapani
7432,New Jalpaiguri Junction
7503,Tindharia
