id,lon,lat
879,81.86773,25.47750
880,81.86777,25.50381
881,81.86784,25.51247
882,81.86693,25.51941
883,81.86699,25.52919
884,81.86705,25.53091
885,81.86710,25.52915
886,81.86707,25.52148
887,81.86699,25.52059
888,81.86693,25.51956
889,81.87579,25.53364
890,81.87132,25.53351
891,81.86709,25.53663
892,81.86601,25.53797
893,81.85685,25.53959
894,81.95161,25.54216
895,81.95209,25.54199
896,81.97663,25.53949
897,81.98668,25.53919
898,82.30630,25.55316
899,81.66191,25.46982
900,83.31165,25.67657
901,88.29110,22.60560
902,88.29576,22.60898
903,88.30953,22.65484
904,88.31711,22.65302
905,88.30600,22.63610
906,88.30610,22.63673
907,88.30425,22.62896
908,88.30363,22.62646
909,88.30183,22.61909
910,88.30175,22.61879
911,83.09916,25.26681
912,83.09940,25.26711
913,85.02500,25.57959
914,84.96685,25.57264
915,84.80465,25.56187
916,84.79306,25.56916
917,84.78672,25.57224
918,84.78226,25.57280
919,84.67072,25.55050
920,84.51376,25.55180
921,84.39110,25.56135
922,85.13343,25.59851
923,85.12644,25.57544
924,85.11904,25.54968
925,85.11444,25.53476
926,85.15203,25.60409
927,85.15219,25.60407
928,85.14029,25.60399
929,85.16749,25.60267
930,85.27064,25.55178
931,85.27098,25.55121
932,85.27515,25.54434
933,85.27552,25.54373
934,78.45605,17.43942
935,78.45585,17.43957
936,78.45166,17.44756
937,78.44429,17.46114
938,82.30755,25.31897
939,81.85937,25.39678
940,81.86414,25.38180
941,81.84806,25.44183
942,82.98237,25.32552
943,80.17751,12.98579
944,80.19833,12.99475
945,80.19601,12.99356
946,80.21342,13.00909
947,80.22072,13.01681
948,80.22081,13.01677
949,80.22518,13.02815
950,80.22509,13.02817
951,78.57421,12.54329
952,78.16495,11.66000
953,78.15958,11.66019
954,78.12699,11.65780
955,78.11578,11.66474
956,77.78023,11.36245
957,77.78043,11.36265
958,77.74762,11.33511
959,77.74523,11.34393
960,80.20089,12.99602
961,77.81200,11.38858
962,77.86157,11.43698
963,77.85956,11.43535
964,77.85419,11.43065
965,77.96623,11.49716
966,77.94586,11.45979
967,77.92942,11.47900
968,77.90883,11.49148
969,77.90714,11.49123
970,77.90309,11.48847
971,77.90248,11.48776
972,80.22023,13.01584
973,80.22035,13.01578
974,78.11288,9.92596
975,78.10365,9.90772
976,78.06524,9.87891
977,78.01410,9.84613
978,78.00927,9.93810
979,78.02280,9.93727
980,78.03541,9.93297
981,78.05761,9.91995
982,78.08832,9.90723
983,78.10889,9.91595
984,78.05556,9.97023
985,78.11592,9.93364
986,77.48236,20.76524
987,77.30876,20.72652
988,77.26475,20.72023
989,75.77837,22.85197
990,75.79936,22.83082
991,75.85152,22.75179
992,75.88584,22.78726
993,75.88670,22.78728
994,75.89547,22.78764
995,75.90838,22.80244
996,75.90921,22.80349
997,75.95020,22.85665
998,75.96321,22.89708
999,75.97358,22.92411
1000,75.97471,22.92488
1001,75.99969,22.93705
1002,76.00002,22.93721
1003,75.86340,22.73602
1004,75.86401,22.73527
1005,75.86784,22.73017
1006,75.86811,22.71473
1007,75.78679,22.60221
1008,75.77885,22.58758
1009,75.77680,22.58380
1010,75.77280,22.57625
1011,75.78513,22.53938
1012,75.79527,22.51935
1013,75.79754,22.51283
1014,75.79848,22.50813
1015,75.79911,22.50641
1016,75.79946,22.50571
1017,75.80192,22.50137
1018,75.80265,22.50099
1019,75.80429,22.49991
1020,75.80495,22.49902
1021,75.80920,22.49586
1022,75.80970,22.49689
1023,75.81199,22.49820
1024,75.81289,22.49778
1025,75.82509,22.49865
1026,75.82688,22.49919
1027,75.83704,22.49590
1028,75.83589,22.49643
1029,75.84681,22.48952
1030,75.84590,22.48932
1031,75.85879,22.47887
1032,75.86094,22.47739
1033,75.86322,22.47666
1034,75.90493,22.46769
1035,75.90589,22.46787
1036,77.17561,23.22175
1037,77.18734,23.23139
1038,77.30374,23.27067
